User country,Nr. reviews,Nr. hotel reviews,Helpful votes,Score,Pool,Gym,Tennis court,Spa,Casino,Free internet,Member years,Hotel name,Nr. rooms,User continent,Hotel stars
USA,46,4,21,4,1,1,0,1,1,1,2,Caesars Palace,3348,North America,5
UK,63,27,35,4,1,1,0,1,1,1,5,Caesars Palace,3348,Europe,5
USA,17,15,13,4,1,1,0,1,1,1,2,Caesars Palace,3348,North America,5
Canada,54,18,31,4,1,1,0,1,1,1,5,Caesars Palace,3348,North America,5
USA,23,7,2,4,1,1,0,1,1,1,3,Caesars Palace,3348,North America,5
USA,48,21,67,4,1,1,0,1,1,1,13,Caesars Palace,3348,North America,5
Australia,16,9,14,4,1,1,0,1,1,1,3,The Cosmopolitan Las Vegas,2959,Oceania,5
Switzerland,36,9,15,4,1,1,0,1,1,1,2,The Cosmopolitan Las Vegas,2959,Europe,5
Ireland,23,7,21,4,1,1,0,1,1,1,7,The Cosmopolitan Las Vegas,2959,Europe,5
Australia,3,3,0,4,1,1,0,1,1,1,7,The Cosmopolitan Las Vegas,2959,Oceania,5
USA,19,8,56,4,1,1,0,1,1,1,10,The Cosmopolitan Las Vegas,2959,North America,5
USA,37,8,9,4,1,1,0,1,1,1,3,The Palazzo Resort Hotel Casino,3025,North America,5
USA,31,10,14,4,1,1,0,1,1,1,5,The Palazzo Resort Hotel Casino,3025,North America,5
USA,42,8,22,4,1,1,0,1,1,1,6,The Palazzo Resort Hotel Casino,3025,North America,5
Spain,19,8,10,4,1,1,0,1,1,1,3,The Palazzo Resort Hotel Casino,3025,Europe,5
UK,75,19,93,4,1,1,0,1,1,1,8,The Palazzo Resort Hotel Casino,3025,Europe,5
USA,91,16,26,4,1,1,0,1,1,1,3,The Palazzo Resort Hotel Casino,3025,North America,5
USA,252,55,113,4,1,1,0,1,1,1,8,The Palazzo Resort Hotel Casino,3025,North America,5
Canada,7,5,20,4,1,1,1,1,1,1,3,Wynn Las Vegas,2700,North America,5
USA,21,5,12,4,1,1,1,1,1,1,8,Wynn Las Vegas,2700,North America,5
USA,11,7,10,4,1,1,1,1,1,1,1,Wynn Las Vegas,2700,North America,5
USA,142,17,31,4,1,1,1,1,1,1,3,Wynn Las Vegas,2700,North America,5
United Arab Emirates,16,7,6,4,1,1,0,1,1,1,7,Trump International Hotel Las Vegas,1282,Asia,5
Singapore,19,11,17,4,1,1,0,1,1,1,7,Trump International Hotel Las Vegas,1282,Asia,5
USA,26,8,1,4,1,1,0,1,1,1,6,Trump International Hotel Las Vegas,1282,North America,5
Iran,3,3,2,4,1,1,0,1,1,1,4,Trump International Hotel Las Vegas,1282,Asia,5
Australia,35,16,17,4,1,1,0,1,1,1,2,Trump International Hotel Las Vegas,1282,Oceania,5
USA,110,19,76,4,1,1,0,1,1,1,2,Trump International Hotel Las Vegas,1282,North America,5
USA,2,0,2,4,1,0,0,0,1,1,North America,The Cromwell,5,188,4
UK,262,75,150,4,1,0,0,0,1,1,Europe,The Cromwell,5,188,4
Australia,92,12,27,4,1,0,0,0,1,1,Oceania,The Cromwell,5,188,4
USA,148,33,55,4,1,0,0,0,1,1,North America,The Cromwell,5,188,4
Canada,26,7,22,4,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,13,4,1,4,1,0,0,0,1,1,North America,The Cromwell,5,188,4
UK,127,40,81,4,1,1,0,1,1,1,8,Encore at wynn Las Vegas,2034,Europe,5
USA,113,38,27,4,1,1,0,1,1,1,1,Encore at wynn Las Vegas,2034,North America,5
Honduras,73,32,99,4,1,1,0,1,1,1,10,Encore at wynn Las Vegas,2034,South America,5
USA,34,8,26,4,1,1,0,1,1,1,4,Encore at wynn Las Vegas,2034,North America,5
UK,34,10,7,4,1,1,0,1,1,1,4,Encore at wynn Las Vegas,2034,Europe,5
Netherlands,92,49,18,4,1,1,0,1,1,1,Europe,Hilton Grand Vacations on the Boulevard,5,1228,3
Australia,106,37,58,4,1,1,0,1,1,1,Oceania,Hilton Grand Vacations on the Boulevard,5,1228,3
Canada,7,5,45,4,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
Finland,39,18,9,4,1,1,0,1,1,1,Europe,Hilton Grand Vacations on the Boulevard,5,1228,3
USA,78,17,24,4,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
USA,9,5,11,4,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
Mexico,22,15,25,4,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
Australia,20,16,9,4,1,1,0,1,1,1,Oceania,Hilton Grand Vacations on the Boulevard,5,1228,3
Canada,160,34,88,4,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
USA,372,78,169,4,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
UK,95,37,55,4,1,1,0,0,1,1,Europe,Marriott's Grand Chateau,5,732,3
USA,60,4,31,4,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
Australia,275,79,339,4,1,1,0,0,1,1,Oceania,Marriott's Grand Chateau,5,732,3
Canada,46,39,42,4,1,1,0,0,1,1,North America,Marriott's Grand Chateau,5,732,3
Kuwait,47,23,20,4,1,1,0,0,1,1,Asia,Marriott's Grand Chateau,5,732,3
Norway,86,12,46,4,1,1,0,0,1,1,Europe,Marriott's Grand Chateau,5,732,3
Germany,64,33,23,4,1,1,0,0,1,1,Europe,Marriott's Grand Chateau,5,732,3
USA,39,10,13,4,1,1,1,1,1,1,3,Tuscany Las Vegas Suites & Casino,716,North America,3
Canada,7,3,7,4,1,1,1,1,1,1,3,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,11,3,19,4,1,1,1,1,1,1,6,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,167,71,119,4,1,1,1,1,1,1,8,Tuscany Las Vegas Suites & Casino,716,North America,3
Australia,32,12,22,4,1,1,0,0,0,1,5,Hilton Grand Vacations at the Flamingo,315,Oceania,3
USA,17,4,4,4,1,1,0,0,0,1,0,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,290,263,300,4,1,1,0,0,0,1,10,Hilton Grand Vacations at the Flamingo,315,North America,3
Australia,26,7,9,4,1,1,0,0,0,1,0,Hilton Grand Vacations at the Flamingo,315,Oceania,3
India,116,44,53,4,1,1,0,0,0,1,5,Hilton Grand Vacations at the Flamingo,315,Asia,3
Czech Republic,14,5,15,4,1,1,0,0,0,1,5,Hilton Grand Vacations at the Flamingo,315,Europe,3
USA,20,9,25,4,1,1,0,0,0,1,8,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,17,3,12,4,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,34,12,35,4,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
Australia,26,5,5,4,1,1,1,0,0,1,Oceania,Wyndham Grand Desert,5,787,3
USA,54,10,15,4,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,27,8,16,4,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,415,162,265,4,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
UK,24,12,30,4,1,1,1,0,0,1,Europe,Wyndham Grand Desert,5,787,3
USA,182,24,47,4,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
USA,289,28,133,4,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
Ireland,31,11,20,4,1,1,0,1,1,1,2,The Venetian Las Vegas Hotel,4027,Europe,5
USA,60,16,15,4,1,1,0,1,1,1,5,The Venetian Las Vegas Hotel,4027,North America,5
Australia,22,13,26,4,1,1,0,1,1,1,2,The Venetian Las Vegas Hotel,4027,Oceania,5
Australia,83,10,26,4,1,1,0,1,1,1,1,The Venetian Las Vegas Hotel,4027,Oceania,5
Australia,15,6,19,4,1,1,0,1,1,1,4,The Venetian Las Vegas Hotel,4027,Oceania,5
UK,13,7,12,4,1,1,0,1,1,1,5,The Venetian Las Vegas Hotel,4027,Europe,5
UK,39,20,31,4,1,1,0,1,1,1,8,The Venetian Las Vegas Hotel,4027,Europe,5
USA,6,6,12,4,1,1,0,1,1,1,10,The Venetian Las Vegas Hotel,4027,North America,5
Australia,16,6,3,4,1,1,0,1,1,1,3,Bellagio Las Vegas,3933,Oceania,5
USA,30,6,26,4,1,1,0,1,1,1,3,Bellagio Las Vegas,3933,North America,5
USA,32,5,11,4,1,1,0,1,1,1,6,Bellagio Las Vegas,3933,North America,5
Korea,77,18,48,4,1,1,0,1,1,1,10,Bellagio Las Vegas,3933,Asia,5
USA,11,8,2,4,1,1,0,1,1,1,0,Bellagio Las Vegas,3933,North America,5
USA,62,13,31,4,1,1,0,1,1,1,2,Bellagio Las Vegas,3933,North America,5
UK,13,6,12,4,1,1,0,1,1,1,1,Bellagio Las Vegas,3933,Europe,5
India,4,4,1,4,1,1,0,1,1,1,1,Bellagio Las Vegas,3933,Asia,5
USA,14,3,7,4,1,1,0,1,1,1,7,Paris Las Vegas,2916,North America,4
USA,116,12,43,4,1,1,0,1,1,1,4,Paris Las Vegas,2916,North America,4
USA,56,16,54,4,1,1,0,1,1,1,9,Paris Las Vegas,2916,North America,4
USA,50,15,23,4,1,1,0,1,1,1,3,Paris Las Vegas,2916,North America,4
UK,22,9,11,4,1,1,0,1,1,1,3,Paris Las Vegas,2916,Europe,4
USA,20,10,27,4,1,1,0,1,1,1,2,Paris Las Vegas,2916,North America,4
USA,48,8,25,4,1,1,0,1,1,1,6,Paris Las Vegas,2916,North America,4
USA,24,7,6,4,1,1,0,1,1,1,1,Paris Las Vegas,2916,North America,4
Canada,20,13,17,4,1,1,0,1,1,1,4,The Westin las Vegas Hotel Casino & Spa,826,North America,4
Italy,189,72,129,4,1,1,0,1,1,1,3,The Westin las Vegas Hotel Casino & Spa,826,Europe,4
USA,38,22,47,4,1,1,0,1,1,1,4,The Westin las Vegas Hotel Casino & Spa,826,North America,4
Egypt,169,43,85,4,1,1,0,1,1,1,12,The Westin las Vegas Hotel Casino & Spa,826,Africa,4
USA,17,10,18,4,1,1,0,1,1,1,3,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,96,47,161,4,1,1,0,1,1,1,11,The Westin las Vegas Hotel Casino & Spa,826,North America,4
India,12,11,9,4,1,1,0,1,1,1,6,The Westin las Vegas Hotel Casino & Spa,826,Asia,4
USA,21,6,3,4,1,1,0,1,1,1,5,The Westin las Vegas Hotel Casino & Spa,826,North America,4
Canada,50,13,29,4,1,1,0,1,1,1,8,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,154,23,31,4,1,1,0,1,1,1,4,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,20,19,112,4,1,1,0,1,1,1,5,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,119,21,75,3,0,1,0,0,1,1,3,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
Canada,31,8,27,3,0,1,0,0,1,1,2,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
Canada,12,7,11,3,0,1,0,0,1,1,5,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
Australia,20,9,24,3,0,1,0,0,1,1,4,Circus Circus Hotel & Casino Las Vegas,3773,Oceania,3
USA,22,5,13,3,0,1,0,0,1,1,1,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
UK,3,3,0,3,0,1,0,0,1,1,1,Circus Circus Hotel & Casino Las Vegas,3773,Europe,3
Canada,41,9,19,3,0,1,0,0,1,1,2,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
UK,87,18,36,3,1,1,0,1,1,1,3,Excalibur Hotel & Casino,3981,Europe,3
Australia,4,3,2,3,1,1,0,1,1,1,0,Excalibur Hotel & Casino,3981,Oceania,3
Canada,56,8,7,3,1,1,0,1,1,1,1,Excalibur Hotel & Casino,3981,North America,3
Egypt,13,12,8,3,1,1,0,1,1,1,4,Excalibur Hotel & Casino,3981,Africa,3
Finland,20,7,4,3,1,1,0,1,1,1,6,Excalibur Hotel & Casino,3981,Europe,3
Jordan,29,8,21,3,1,1,0,1,1,1,2,Excalibur Hotel & Casino,3981,Europe,3
Canada,20,5,59,3,1,1,0,1,1,1,8,Excalibur Hotel & Casino,3981,North America,3
Netherlands,3,3,3,3,1,1,0,1,1,1,4,Excalibur Hotel & Casino,3981,Europe,3
Syria,34,8,30,3,1,1,0,1,1,1,4,Excalibur Hotel & Casino,3981,Asia,3
UK,576,43,340,3,1,1,0,1,1,0,3,Monte Carlo Resort&Casino,3003,Europe,4
Canada,30,10,32,3,1,1,0,1,1,0,2,Monte Carlo Resort&Casino,3003,North America,4
New Zeland,9,6,19,3,1,1,0,1,1,0,7,Monte Carlo Resort&Casino,3003,Oceania,4
UK,33,12,19,3,1,1,0,1,1,0,5,Monte Carlo Resort&Casino,3003,Europe,4
United Arab Emirates,156,126,142,3,1,1,0,1,1,0,8,Monte Carlo Resort&Casino,3003,Asia,4
USA,23,17,11,3,1,1,0,1,1,0,1,Monte Carlo Resort&Casino,3003,North America,4
Croatia,29,11,14,3,1,1,1,1,1,1,6,Treasure Island- TI Hotel & Casino,2884,Europe,4
Australia,16,13,16,3,1,1,1,1,1,1,6,Treasure Island- TI Hotel & Casino,2884,Oceania,4
India,12,4,25,3,1,1,1,1,1,1,1,Treasure Island- TI Hotel & Casino,2884,Asia,4
USA,27,17,16,3,1,1,1,1,1,1,6,Treasure Island- TI Hotel & Casino,2884,North America,4
UK,11,9,6,3,1,1,1,1,1,1,0,Treasure Island- TI Hotel & Casino,2884,Europe,4
USA,27,11,5,3,1,1,1,1,1,1,2,Treasure Island- TI Hotel & Casino,2884,North America,4
Phillippines,79,39,51,3,1,1,1,1,1,1,5,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Asia,4
Israel,18,10,16,3,1,1,1,1,1,1,2,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Asia,4
Belgium,39,15,31,3,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,Europe,4
USA,15,10,29,3,1,1,0,1,1,1,9,Caesars Palace,3348,North America,5
UK,59,56,37,3,1,1,0,1,1,1,6,Caesars Palace,3348,Europe,5
Australia,6,6,9,3,1,1,0,1,1,1,0,Caesars Palace,3348,Oceania,5
Mexico,28,23,31,3,1,1,0,1,1,1,4,The Palazzo Resort Hotel Casino,3025,North America,5
USA,28,20,14,3,1,1,0,1,1,1,8,The Palazzo Resort Hotel Casino,3025,North America,5
UK,52,48,78,3,1,1,0,1,1,1,8,The Palazzo Resort Hotel Casino,3025,Europe,5
Brazil,31,25,35,3,1,1,0,1,1,1,7,The Palazzo Resort Hotel Casino,3025,South America,5
Singapore,16,10,16,3,1,1,1,1,1,1,7,Wynn Las Vegas,2700,Asia,5
USA,775,52,255,3,1,1,0,1,1,1,2,Trump International Hotel Las Vegas,1282,North America,5
Saudi Arabia,320,45,102,3,1,0,0,0,1,1,Asia,The Cromwell,5,188,4
USA,131,61,116,3,1,0,0,0,1,1,North America,The Cromwell,5,188,4
Canada,49,22,53,3,1,0,0,0,1,1,North America,The Cromwell,5,188,4
UK,7,5,5,3,1,1,0,1,1,1,7,Encore at wynn Las Vegas,2034,Europe,5
USA,4,4,1,3,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
Thailand,18,9,8,3,1,1,0,0,1,1,Asia,Marriott's Grand Chateau,5,732,3
UK,12,12,6,3,1,1,1,1,1,1,4,Tuscany Las Vegas Suites & Casino,716,Europe,3
USA,108,20,22,3,1,1,1,1,1,1,5,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,27,15,17,3,1,1,1,1,1,1,6,Tuscany Las Vegas Suites & Casino,716,North America,3
Canada,3,3,2,3,1,1,1,1,1,1,0,Tuscany Las Vegas Suites & Casino,716,North America,3
UK,19,11,14,3,1,1,1,1,1,1,5,Tuscany Las Vegas Suites & Casino,716,Europe,3
USA,28,6,9,3,1,1,1,1,1,1,3,Tuscany Las Vegas Suites & Casino,716,North America,3
USA,65,24,72,3,1,1,0,0,0,1,6,Hilton Grand Vacations at the Flamingo,315,North America,3
Hawaii,82,14,61,3,1,1,0,0,0,1,1,Hilton Grand Vacations at the Flamingo,315,North America,3
Canada,113,48,33,3,1,1,0,0,0,1,4,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,11,8,12,3,1,1,0,0,0,1,6,Hilton Grand Vacations at the Flamingo,315,North America,3
Canada,2,1,1,3,1,1,0,0,0,1,3,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,56,7,25,3,1,1,0,0,0,1,7,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,41,8,14,3,1,1,1,0,0,1,North America,Wyndham Grand Desert,5,787,3
Ireland,76,27,32,3,1,1,1,0,0,1,Europe,Wyndham Grand Desert,5,787,3
Japan,23,9,23,3,1,1,1,0,0,1,Asia,Wyndham Grand Desert,5,787,3
USA,9,3,13,3,1,1,0,1,1,1,2,The Venetian Las Vegas Hotel,4027,North America,5
UK,12,6,16,3,1,1,0,1,1,1,3,Bellagio Las Vegas,3933,Europe,5
Canada,73,4,39,3,1,1,0,1,1,1,3,Paris Las Vegas,2916,North America,4
USA,137,42,51,3,1,1,0,1,1,1,5,Paris Las Vegas,2916,North America,4
Costa Rica,130,19,49,3,1,1,0,1,1,1,6,Paris Las Vegas,2916,North America,4
USA,15,3,4,3,1,1,0,1,1,1,7,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,25,19,27,3,1,1,0,1,1,1,8,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,20,17,21,3,1,1,0,1,1,1,4,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,38,13,11,3,1,1,0,1,1,1,5,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,23,21,22,3,1,1,0,1,1,1,7,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,63,16,59,3,1,1,0,1,1,1,11,The Westin las Vegas Hotel Casino & Spa,826,North America,4
USA,102,24,58,2,0,1,0,0,1,1,9,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
USA,7,6,9,2,0,1,0,0,1,1,1,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
USA,8,7,26,2,0,1,0,0,1,1,10,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
USA,4,4,3,2,0,1,0,0,1,1,5,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
USA,24,6,9,2,1,1,0,1,1,1,2,Excalibur Hotel & Casino,3981,North America,3
USA,418,32,132,2,1,1,0,1,1,0,3,Monte Carlo Resort&Casino,3003,North America,4
South Africa,54,18,16,2,1,1,0,1,1,0,5,Monte Carlo Resort&Casino,3003,Africa,4
Swiss,36,19,36,2,1,1,0,1,1,0,5,Monte Carlo Resort&Casino,3003,Europe,4
USA,13,3,3,2,1,1,0,1,1,0,1,Monte Carlo Resort&Casino,3003,North America,4
Greece,21,18,6,2,1,1,0,1,1,0,0,Monte Carlo Resort&Casino,3003,Europe,4
USA,5,3,11,2,1,1,1,1,1,1,1,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,North America,4
USA,30,8,10,2,1,1,0,1,1,1,1,The Cosmopolitan Las Vegas,2959,North America,5
Germany,24,24,24,2,1,1,0,1,1,1,7,The Cosmopolitan Las Vegas,2959,Europe,5
Canada,4,3,8,2,1,1,0,1,1,1,8,The Cosmopolitan Las Vegas,2959,North America,5
Canada,12,7,11,2,1,1,1,1,1,1,4,Wynn Las Vegas,2700,North America,5
Germany,1,0,1,2,1,1,0,1,1,1,0,Trump International Hotel Las Vegas,1282,Europe,5
USA,9,9,6,2,1,0,0,0,1,1,North America,The Cromwell,5,188,4
Canada,14,0,4,2,1,0,0,0,1,1,North America,The Cromwell,5,188,4
USA,50,39,48,2,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
UK,11,3,16,2,1,1,0,1,1,1,Europe,Hilton Grand Vacations on the Boulevard,5,1228,3
India,1,0,3,2,1,1,1,1,1,1,0,Tuscany Las Vegas Suites & Casino,716,Asia,3
UK,61,13,26,2,1,1,0,0,0,1,4,Hilton Grand Vacations at the Flamingo,315,Europe,3
USA,3,3,8,2,1,1,0,0,0,1,1,Hilton Grand Vacations at the Flamingo,315,North America,3
USA,30,9,17,2,1,1,0,1,1,1,0,Bellagio Las Vegas,3933,North America,5
Spain,3,0,8,2,1,1,0,1,1,1,3,Bellagio Las Vegas,3933,Europe,5
Malaysia,20,18,19,2,1,1,0,1,1,1,4,Bellagio Las Vegas,3933,Asia,5
USA,4,4,2,2,1,1,0,1,1,1,1,Paris Las Vegas,2916,North America,4
USA,121,13,59,2,1,1,0,1,1,1,9,Paris Las Vegas,2916,North America,4
Canada,18,3,10,2,1,1,0,1,1,1,2,Paris Las Vegas,2916,North America,4
USA,9,6,5,2,1,1,0,1,1,1,9,The Westin las Vegas Hotel Casino & Spa,826,North America,4
Canada,8,8,9,1,0,1,0,0,1,1,4,Circus Circus Hotel & Casino Las Vegas,3773,North America,3
New Zeland,4,3,3,1,0,1,0,0,1,1,3,Circus Circus Hotel & Casino Las Vegas,3773,Oceania,3
China,1,0,2,1,1,1,0,1,1,0,0,Monte Carlo Resort&Casino,3003,Asia,4
Canada,27,0,9,1,1,1,1,1,1,1,0,Tropicana Las Vegas - A Double Tree by Hilton Hotel,1467,North America,4
UK,15,6,39,1,1,1,0,1,1,1,4,Caesars Palace,3348,Europe,5
USA,25,22,36,1,1,1,0,1,1,1,9,Caesars Palace,3348,North America,5
USA,6,4,14,1,1,1,0,1,1,1,1,The Cosmopolitan Las Vegas,2959,North America,5
Egypt,2,0,15,1,1,1,0,1,1,1,1,Trump International Hotel Las Vegas,1282,Africa,5
USA,4,0,16,1,1,0,0,0,1,1,North America,The Cromwell,5,188,4
Thailand,3,3,20,1,1,1,0,1,1,1,5,Encore at wynn Las Vegas,2034,Asia,5
USA,70,25,19,1,1,1,0,1,1,1,North America,Hilton Grand Vacations on the Boulevard,5,1228,3
